soc2,anthropic_observed,microsoft_applicability,openai_theoretical,isco1
11,0.257,0.513,0.624,1
13,0.466,0.753,0.709,2
15,1.0,1.0,1.0,2
17,0.101,0.718,0.663,2
19,0.322,0.711,0.623,2
21,0.136,0.822,0.43,2
23,0.57,0.344,0.663,2
25,0.341,0.93,0.584,2
27,0.376,0.751,0.631,2
29,0.108,0.388,0.459,2
31,0.13,0.161,0.323,3
33,0.031,0.433,0.385,5
35,0.025,0.532,0.184,5
37,0.065,0.28,0.17,9
39,0.051,0.578,0.274,5
41,0.623,0.949,0.618,5
43,0.503,0.83,0.816,4
45,0.005,0.256,0.175,6
47,0.011,0.191,0.093,7
49,0.019,0.37,0.182,7
51,0.02,0.309,0.175,8
53,0.017,0.342,0.29,9
55,,,,0
