isco1,label_de,employment_thousands,country,year,source
1,Führungskräfte,426.6,CH,2025,BFS
2,Intellektuelle und wissenschaftliche Berufe,1298.6,CH,2025,BFS
3,Techniker/innen und gleichrangige nichttechnische Berufe,843.7,CH,2025,BFS
4,Bürokräfte und verwandte Berufe,570.6,CH,2025,BFS
5,Dienstleistungsberufe und Verkäufer/innen,640.5,CH,2025,BFS
6,Fachkräfte in Land- und Forstwirtschaft und Fischerei,97.2,CH,2025,BFS
7,Handwerks- und verwandte Berufe,436.2,CH,2025,BFS
8,Bediener/innen von Anlagen und Maschinen und Montageberufe,176.1,CH,2025,BFS
9,Hilfsarbeitskräfte,285.6,CH,2025,BFS
0,Keine Angabe/Angehörige der regulären Streitkräfte,110.7,CH,2025,BFS
