isco2,employment_thousands,country,year,source
11,2268.0,UK,2025,ONS_ASHE
14,595.0,UK,2025,ONS_ASHE
21,1711.0,UK,2025,ONS_ASHE
22,1816.0,UK,2025,ONS_ASHE
23,1447.0,UK,2025,ONS_ASHE
24,2057.0,UK,2025,ONS_ASHE
31,712.0,UK,2025,ONS_ASHE
32,605.0,UK,2025,ONS_ASHE
33,1883.0,UK,2025,ONS_ASHE
34,230.0,UK,2025,ONS_ASHE
41,2588.0,UK,2025,ONS_ASHE
42,375.0,UK,2025,ONS_ASHE
51,347.0,UK,2025,ONS_ASHE
52,1142.0,UK,2025,ONS_ASHE
53,1811.0,UK,2025,ONS_ASHE
54,398.0,UK,2025,ONS_ASHE
61,99.0,UK,2025,ONS_ASHE
71,279.0,UK,2025,ONS_ASHE
72,765.0,UK,2025,ONS_ASHE
75,328.0,UK,2025,ONS_ASHE
81,603.0,UK,2025,ONS_ASHE
83,663.0,UK,2025,ONS_ASHE
91,1962.0,UK,2025,ONS_ASHE
93,215.0,UK,2025,ONS_ASHE
