isco_code,isco_digits,mean_annual_gbp,mean_annual_eur,country,year,source
1,1,72494.0,84093.0,UK,2025,ONS_ASHE
2,1,50594.0,58689.0,UK,2025,ONS_ASHE
3,1,41013.0,47575.0,UK,2025,ONS_ASHE
4,1,26583.0,30836.0,UK,2025,ONS_ASHE
5,1,20255.0,23496.0,UK,2025,ONS_ASHE
6,1,27752.0,32192.0,UK,2025,ONS_ASHE
7,1,36719.0,42594.0,UK,2025,ONS_ASHE
8,1,33498.0,38858.0,UK,2025,ONS_ASHE
9,1,19284.0,22369.0,UK,2025,ONS_ASHE
11,2,79627.0,92367.0,UK,2025,ONS_ASHE
14,2,45305.0,52554.0,UK,2025,ONS_ASHE
21,2,57062.0,66192.0,UK,2025,ONS_ASHE
22,2,44761.0,51923.0,UK,2025,ONS_ASHE
23,2,42893.0,49756.0,UK,2025,ONS_ASHE
24,2,55781.0,64706.0,UK,2025,ONS_ASHE
31,2,37988.0,44066.0,UK,2025,ONS_ASHE
32,2,25678.0,29786.0,UK,2025,ONS_ASHE
33,2,47971.0,55646.0,UK,2025,ONS_ASHE
34,2,33754.0,39155.0,UK,2025,ONS_ASHE
41,2,26836.0,31130.0,UK,2025,ONS_ASHE
42,2,24836.0,28810.0,UK,2025,ONS_ASHE
51,2,22753.0,26393.0,UK,2025,ONS_ASHE
52,2,17655.0,20480.0,UK,2025,ONS_ASHE
53,2,21301.0,24709.0,UK,2025,ONS_ASHE
54,2,28883.0,33504.0,UK,2025,ONS_ASHE
61,2,27752.0,32192.0,UK,2025,ONS_ASHE
71,2,37104.0,43041.0,UK,2025,ONS_ASHE
72,2,41180.0,47769.0,UK,2025,ONS_ASHE
75,2,25987.0,30145.0,UK,2025,ONS_ASHE
81,2,31545.0,36592.0,UK,2025,ONS_ASHE
83,2,35274.0,40918.0,UK,2025,ONS_ASHE
91,2,18431.0,21380.0,UK,2025,ONS_ASHE
93,2,27068.0,31399.0,UK,2025,ONS_ASHE
